comid,MMI_BENT,agkffact,bfi,cbnf,conif,crophay,fert,manure,pestic1997,urbmdhi,lon,lat,easting,northing,state
16031228,0.55,0.000276603,80,0.206638464,0,0,0.296127563,0.003254149,0,0.108471635,-100.5300766,42.5046969,-118.8250834,4733.372909,Nebraska
24392139,0.299,0,67,0,16.4231961,0,0,0,0,0.221336875,-120.1848543,48.39574923,-1500.671368,5728.206133,Washington
12744019,0.346,0.015696023,67.26104798,0.506628788,0,5.003156566,1.165246212,0,4.897953649,0,-112.3107147,47.88188768,-940.5667462,5486.554833,Montana
12502183,0.54,0.015312895,78.66816578,1.166542725,5.005783963,6.046012016,1.011252169,0.429984537,2.838402788,0.9390087,-84.80691803,45.40837736,1141.102189,5061.071317,Michigan
23556402,0.684,0,71,0,34.48773449,0,0,0,0,0,-115.497249,44.65145201,-1283.376288,5196.863582,Idaho
13346922,0.655,0,62,0,0,0,0,0,1.044560229,0,-89.82877244,45.91586389,745.9235339,5089.59062,Wisconsin
1489732,0.33,0.244957075,9,2.389825119,0.540540541,59.80922099,10.15675676,2.987281399,8.756876532,10.17488076,-95.90477991,30.96290291,222.5284625,3429.111272,Texas
167204299,0.374,0.164838275,35,21.97843666,0,62.66846361,42.73584906,0.610512129,71.86992999,1.010781671,-97.00285988,45.91806338,189.5999899,5092.738955,South Dakota
23070589,0.51,0,70,0,0.455641919,0,0,0,5.178885029,0.080407397,-119.7765868,48.23081535,-1477.828004,5698.943838,Washington
4592585,0.528,0,48.15451264,0,13.86281588,0,0,0,0.480109717,0,-71.79966497,44.77815176,2176.889755,5181.979128,Vermont
12337192,0.266,0.26795607,67,0.724205596,0,73.29408786,7.242055956,0,32.4838079,0.025319661,-112.1682796,48.89407383,-900.9917274,5595.399001,Montana
18696909,0.482,0,35,0,11.61825726,2.074688797,0,0,0.023870719,0,-88.51171904,33.59381437,916.6117332,3726.160161,Mississippi
24465514,0.459,8.10E-05,80.52484228,0.006424835,45.78921119,0.000349252,0.025684673,0,5.823906152,0.065170379,-111.5054464,44.40619936,-973.6634319,5086.51191,Idaho
13391709,0.605,0,69,0,1.557632399,0,0,0,0.003625393,0.10384216,-89.34555111,46.06919266,782.6125304,5108.230499,Wisconsin
1710718,0.722,0,52,0,3.03030303,0,0,0,0.030442552,0.216450216,-68.76859317,46.10494515,2369.068214,5399.132585,Maine
17332477,0.367,0,80,0,0,0,0,0,0,0,-100.647995,42.45261112,-129.0453449,4728.45779,Nebraska
15252778,0.482,0.17856891,24.46039593,4.814199789,6.699824855,40.06772013,14.69961499,0.489784223,43.28517676,1.687140772,-90.08548489,34.74610295,766.8138447,3848.757107,Mississippi
